Id.-No.;Name;Vorname;Lebensdaten
P00001;Abaelard;Peter;
P00002;Abe;Masao;1915-2006
P00003;Abel;;
P00004;Abraham;;
P00005;Abusch;Alexander;
P00006;Acontius;Jacobus;
P00007;Adam;;
P00008;Adams;James Luther;1901-1994
P00009;Adenauer;Konrad;
P00010;Adler;Ada;1878-1946
P00011;Adler;Alfred;
P00012;Adler;Max;
P00013;Adler;Bruno;1888-1968
P00014;Adonis;;
P00015;Adorno;Theodor W.;1903-1969
P00016;Adriani;Bruno;1881-1971
P00017;Aegidius Romanus;;
P00018;Agricola;Gnaeus Iulius;
P00019;Ahlborn;Knud;
P00020;Aiken;Newton;
P00021;Ainesidemos;;
P00022;Al-Ghazali;Abu Hamid;
P00023;Al-Halladsch;Hussein;
P00024;Al-kindi;;
P00025;Alanus de Insulis;;
P00026;Alarich;;
P00027;Albert von Sachsen;;
P00028;Albertus Magnus;;
P00029;Albrecht;Renate;
P00030;Alcuin;;
P00031;Alexander;Mary D.;
P00032;Alexander der Große;;
P00033;Alexander Neckham;;
P00034;Alexander von Aphrodisias;;
P00035;Alexander von Hales;;
P00036;Alexejew;Nikolai Nikolajewitsch ;1879-1964
P00037;Alfredus Anglicus;;
P00038;Ali;;
P00039;Alkibiades;;
P00040;Alkmaion;;
P00041;Allwohn;Adolf;
P00042;Althaus;Paul;
P00043;Althusius;Johannes;
P00044;Amalrich von Bena;;
P00045;Amelung;Eberhard;1926-2008
P00046;Amenophis I.;;
P00047;Ammonios Sakkas;;
P00048;Amon-Ra;;
P00049;Amos;;
P00050;Amsdorf;Nikolaus von;
P00051;Amyraut;Moyse;
P00052;Anaxagoras;;
P00053;Anaximander;;
P00054;Anaximenes;;
P00055;Anders (geb. Stern);Günther;1902-1992
P00056;Andersen;Betty H.;
P00057;Angell;Thomas S.;
P00058;Angell;Norman;
P00059;Angelus Silesius;;
P00060;Anselm von Canterbury;;
P00061;Anselm von Laon;;
P00062;Anshen;Ruth Nanda;1900-2003
P00063;Anspach;Ernst;
P00064;Antiochos von Askalon;;
P00065;Antiochus IV. Epiphanes;;
P00066;Antisthenes;;
P00067;Apelt;Otto;
P00068;Apollinaris von Laodicea;;
P00069;Apollo;;
P00070;Apollonios von Tyana;;
P00071;Apollos;;
P00072;Appelius;Hildegard;
P00073;Apuleius;;
P00074;Archytas;;
P00075;Arendt;Hannah;1906-1975
P00076;Aretaeus;;
P00077;Aristarch von Samos;;
P00078;Aristides;;
P00079;Aristipp von Kyrene;;
P00080;Aristoteles;;
P00081;Arius;;
P00082;Arkesilaos;;
P00083;Arminius;Jakob;
P00084;Arndt;Johann;
P00085;Arnim;Hans von;
P00086;Arnobius;;
P00087;Arnold;John C.;
P00088;Arnold;Melvin;
P00089;Arnold;Eberhard;
P00090;Arnold;Gottfried;
P00091;Arnold;Melwin;
P00092;Asclepius;;
P00093;Asmussen;Hans Christian;
P00094;Asselin;Paul;
P00095;Athanasius;;
P00096;Athenagoras;;
P00097;Atkinson;Henry;
P00098;Auden;Wystan Hugh;
P00099;Auersperg;Hilda;1895-1981
P00100;Augustinus;;
P00101;Augustinus Triumphus;;
P00102;Augustus;;
P00103;Avempace;;
P00104;Avencebrol;;
P00105;Baader;Franz von;
P00106;Bab;Julius;1880-1955
P00107;Bach;Johann Sebastian;
P00108;Bachofen;Johann Jakob;
P00109;Backhaus;Alwin;1867-
P00110;Bacon;Francis;
P00111;Bacon;Roger;
P00112;Baden;Hans Jürgen;1911-1986
P00113;Bader;Claudia;1900–1974
P00114;Badoglio;Sofia;1900-1974
P00115;Baerensprung;Horst Wolfgang;1893-1952
P00116;Baerensprung;Käthe;
P00117;Baerwald;Eduard;1876-1934
P00118;Baeumker;Clemens;
P00119;Bahr;Egon;1922-2015
P00120;Bahrdt;Karl Friedrich;
P00121;Bailey;David Algar;
P00122;Baillie;John;1886-1960
P00123;Bainton;Roland;1894-1984
P00124;Baker;Mrs.;
P00125;Bakunin;Michael;
P00126;Baldensperger;Wilhelm;
P00127;Balivo;Alice;
P00128;Balke;Hans;1886-1980
P00129;Balla;E.;
P00130;Banning;Willem;1888-1971
P00131;Banzhaf;Friedrich;
P00132;Barbusse;Henri;
P00133;Baring;Nina;1899-1972
P00134;Barnabas;;
P00135;Barry;Frank Russell ;1890-1976
P00136;Barth;Adelard von;
P00137;Barth;Karl;1886-1968
P00138;Barth;Markus;1915-1994
P00139;Barth;Käte;
P00140;Barth;Nelly;
P00141;Barth;Heinrich;
P00142;Bartocci;Peter A.;
P00143;Baruch;;
P00144;Bäschlin;Franz;1906-1975
P00145;Basedow;Frl.;
P00146;Basilius der Große;;
P00147;Battenhouse;Henry Martin;1885-1960
P00148;Baudelaire;Charles;
P00149;Bauer;Fritz Joachim;
